HGNC_symbol,ProteinID,DrugName,DrugCID,Drug,AE
GLTP,3s0i,nilotinib,644241,nilotinib-644241,-13.7
GLTP,4gjq,venetoclax,49846579,venetoclax-49846579,-13.4
GLTP,2evs,sonidegib,24775005,sonidegib-24775005,-13.2
GLTP,2evt,nilotinib,644241,nilotinib-644241,-13.2
GLTP,3s0k,nilotinib,644241,nilotinib-644241,-13.2
GLTP,3s0k,sonidegib,24775005,sonidegib-24775005,-13.2
GLTP,1swx,sonidegib,24775005,sonidegib-24775005,-13
GLTP,4ghs,venetoclax,49846579,venetoclax-49846579,-13
GLTP,3s0k,regorafenib,11167602,regorafenib-11167602,-12.9
GLTP,2evl,nilotinib,644241,nilotinib-644241,-12.8
GLTP,3s0i,sonidegib,24775005,sonidegib-24775005,-12.8
GLTP,4gh0,nilotinib,644241,nilotinib-644241,-12.8
GLTP,1sx6,nilotinib,644241,nilotinib-644241,-12.7
GLTP,3ric,sonidegib,24775005,sonidegib-24775005,-12.7
GLTP,3rzn,nilotinib,644241,nilotinib-644241,-12.7
GLTP,3s0k,venetoclax,49846579,venetoclax-49846579,-12.7
GLTP,4gh0,sonidegib,24775005,sonidegib-24775005,-12.7
GLTP,4gh0,venetoclax,49846579,venetoclax-49846579,-12.7
GLTP,4gxg,nilotinib,644241,nilotinib-644241,-12.7
GLTP,3rzn,sonidegib,24775005,sonidegib-24775005,-12.6
GLTP,4gxd,nilotinib,644241,nilotinib-644241,-12.6
GLTP,4gxg,venetoclax,49846579,venetoclax-49846579,-12.6
GLTP,4h2z,sonidegib,24775005,sonidegib-24775005,-12.6
GLTP,1sx6,venetoclax,49846579,venetoclax-49846579,-12.5
GLTP,2euk,nilotinib,644241,nilotinib-644241,-12.5
GLTP,3s0k,abemaciclib,46220502,abemaciclib-46220502,-12.5
GLTP,4ghp,nilotinib,644241,nilotinib-644241,-12.5
GLTP,1sx6,sonidegib,24775005,sonidegib-24775005,-12.4
GLTP,2euk,sonidegib,24775005,sonidegib-24775005,-12.4
GLTP,2evd,nilotinib,644241,nilotinib-644241,-12.4
GLTP,2evt,olaparib,23725625,olaparib-23725625,-12.4
GLTP,3s0k,vemurafenib,42611257,vemurafenib-42611257,-12.4
GLTP,4gh0,dactinomycin,457193,dactinomycin-457193,-12.4
GLTP,4ghs,nilotinib,644241,nilotinib-644241,-12.4
GLTP,2eum,nilotinib,644241,nilotinib-644241,-12.3
PTPRN,3np5,venetoclax,49846579,venetoclax-49846579,-12.3
GLTP,3ric,nilotinib,644241,nilotinib-644241,-12.3
GLTP,3s0k,ibrutinib,24821094,ibrutinib-24821094,-12.3
GLTP,4gjq,nilotinib,644241,nilotinib-644241,-12.3
GLTP,4gxd,venetoclax,49846579,venetoclax-49846579,-12.3
GLTP,2evd,sonidegib,24775005,sonidegib-24775005,-12.2
GLTP,2evl,sonidegib,24775005,sonidegib-24775005,-12.2
